wealth,bil
2.20E+09,1
2.10E+09,1
2.10E+09,1
2.10E+09,1
2.10E+09,1
2.10E+09,1
2.10E+09,1
2.10E+09,1
2.10E+09,1
2.10E+09,1
2.10E+09,1
2.10E+09,1
2.10E+09,1
2.10E+09,1
2.10E+09,1
2.10E+09,1
2.10E+09,1
2.10E+09,1
2.10E+09,1
2.10E+09,1
2.00E+09,1
2.00E+09,1
2.00E+09,1
2.00E+09,1
2.00E+09,1
2.00E+09,1
2.00E+09,1
2.00E+09,1
2.00E+09,1
2.00E+09,1
2.00E+09,1
2.00E+09,1
2.00E+09,1
2.00E+09,1
2.00E+09,1
2.00E+09,1
2.00E+09,1
2.00E+09,1
2.00E+09,1
1.90E+09,1
1.90E+09,1
1.90E+09,1
1.90E+09,1
1.90E+09,1
1.90E+09,1
1.90E+09,1
1.90E+09,1
1.90E+09,1
1.90E+09,1
1.90E+09,1
1.90E+09,1
1.90E+09,1
1.90E+09,1
1.80E+09,1
1.80E+09,1
1.80E+09,1
1.80E+09,1
1.80E+09,1
1.80E+09,1
1.80E+09,1
1.80E+09,1
1.80E+09,1
1.80E+09,1
1.80E+09,1
1.80E+09,1
1.80E+09,1
1.70E+09,1
1.70E+09,1
1.70E+09,1
1.70E+09,1
1.70E+09,1
1.70E+09,1
1.70E+09,1
1.70E+09,1
1.70E+09,1
1.70E+09,1
1.70E+09,1
1.70E+09,1
1.70E+09,1
1.70E+09,1
1.60E+09,1
1.60E+09,1
1.60E+09,1
1.60E+09,1
1.60E+09,1
1.60E+09,1
1.60E+09,1
1.60E+09,1
1.60E+09,1
1.60E+09,1
1.60E+09,1
1.60E+09,1
1.60E+09,1
1.60E+09,1
1.60E+09,1
1.60E+09,1
1.60E+09,1
1.50E+09,1
1.50E+09,1
1.50E+09,1
1.50E+09,1
1.50E+09,1
1.50E+09,1
1.50E+09,1
1.50E+09,1
1.50E+09,1
1.50E+09,1
1.50E+09,1
1.50E+09,1
1.50E+09,1
1.50E+09,1
1.50E+09,1
1.50E+09,1
1.50E+09,1
1.50E+09,1
1.50E+09,1
1.50E+09,1
1.50E+09,1
1.50E+09,1
1.50E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
