Source: Forbes Billionaires List Data,,,,,,,,,,,,,,,,,,,,,,,
Name and Rank,Surname,World Rank,Wealth (Millions),Age,Wealth Source,Gender,City,State,,,,,,,,,,,,,,,
Jay Van Andel,Van Andel,48,"$1,300",66,Amway,M,Ada,MI,,,,,,,,,,,,,,,
Robert Edward (Ted) Turner III,Turner,48,"$1,300",51,Turner Broadcasting System,M,Roswell,GA,,,,,,,,,,,,,,,
Harold Clark Simmons,Simmons,48,"$1,300",59,Investments,M,Dallas,TX,,,,,,,,,,,,,,,
Kirk Kerkorian,Kerkorian,54,"$1,250",73,Investments,M,Beverly Hills,CA,,,,,,,,,,,,,,,
David Rockefeller,Rockefeller,55,"$1,200",75,Inheritance,M,New York City,NY,,,,,,,,,,,,,,,
Paul Gardner Allen,Allen,55,"$1,200",37,Microsoft Corp.,M,Mercer Island,WA,,,,,,,,,,,,,,,
James R. Cargill,Cargill,57,"$1,100",66,Inheritance (Cargill Inc.),M,Minneapolis,MN,,,,,,,,,,,,,,,
Margaret Cargill,Cargill,57,"$1,100",70,Inheritance (Cargill Inc.),F,La Jolla,CA,,,,,,,,,,,,,,,
Jack Kent Cooke,Cooke,57,"$1,100",77,Real Estate,M,Middleburg,VA,,,,,,,,,,,,,,,
Keith Rupert Murdoch,Murdoch,57,"$1,100",59,Publishing,M,New York City,NY,,,,,,,,,,,,,,,
Curtis Leroy Carlson,Carlson,57,"$1,100",76,Entrepreneur,M,Long Lake,MN,,,,,,,,,,,,,,,
William Bernard Ziff Jr.,Ziff,62,"$1,000",60,Publishing,M,Manalapan,FL,,,,,,,,,,,,,,,
Margaret Hunt Hill,Hill,62,"$1,000",74,Inheritance (Oil),F,Dallas,TX,,,,,,,,,,,,,,,
Edward Lewis Gaylord,Gaylord,62,"$1,000",71,Broadcasting,M,Oklahoma City,OK,,,,,,,,,,,,,,,
Carl Celian Icahn,Icahn,62,"$1,000",54,Financier,M,Bedford,NY,,,,,,,,,,,,,,,
Philip Hampson Knight,Knight,62,"$1,000",53,Nike Inc,M,Beaverton,OR,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
