Source: Forbes Billionaires List Data,,,,,,,,
Name and Rank,Wealth (Millions),Surname,World Rank,Age,Wealth Source,Industry,Gender,State
George Bishop,"$2,400",Bishop,875,82,oil & gas,Energy,M,Texas
Harold Hamm,"$2,400",Hamm,875,74,oil & gas,Energy,M,Oklahoma
"Edward Johnson, IV.","$2,400",Johnson,875,55,money management,Finance & Investments,M,Massachusetts
Elizabeth Johnson,"$2,400",Johnson,875,56,money management,Finance & Investments,F,Massachusetts
Herbert Wertheim,"$2,400",Wertheim,875,80,investments,Finance & Investments,M,Florida
C. Dean Metropoulos,"$2,400",Metropoulos,875,73,investments,Food & Beverage,M,Florida
Brad Kelley,"$2,400",Kelley,875,63,tobacco,Real Estate,M,Tennessee
Richard Peery,"$2,400",Peery,875,81,real estate,Real Estate,M,California
Rakesh Gangwal,"$2,400",Gangwal,875,66,airline,Service,M,Florida
Jeff Rothschild,"$2,400",Rothschild,875,65,Facebook,Technology,M,California
Jerry Yang,"$2,400",Yang,875,51,Yahoo,Technology,M,California
Peter Thiel,"$2,300",Thiel,908,52,"Facebook, Palantir",Finance & Investments,M,California
Ron Baron,"$2,300",Baron,908,76,money management,Finance & Investments,M,New York
Warren Stephens,"$2,300",Stephens,908,63,investment banking,Finance & Investments,M,Arkansas
Andrew & Peggy Cherng,"$2,300",Cherng,908,,restaurants,Food & Beverage,,Nevada
Clayton Mathile,"$2,300",Mathile,908,79,pet food,Food & Beverage,M,Ohio
Richard Sands,"$2,300",Sands,908,69,liquor,Food & Beverage,M,Florida
Stewart Rahr,"$2,300",Rahr,908,74,drug distribution,Healthcare,M,New York
David Walentas,"$2,300",Walentas,908,81,real estate,Real Estate,M,New York
Daniel Pritzker,"$2,300",Pritzker,908,60,"hotels, investments",Service,M,California
Jean (Gigi) Pritzker,"$2,300",Pritzker,908,57,"hotels, investments",Service,F,California
Jim Breyer,"$2,300",Breyer,908,58,venture capital,Technology,M,California
Jeffery Hildebrand,"$2,200",Hildebrand,945,61,oil,Energy,M,Texas
Kelcy Warren,"$2,200",Warren,945,64,pipelines,Energy,M,Texas
Doris Fisher,"$2,200",Fisher,945,88,Gap,Fashion & Retail,F,California
Todd Christopher,"$2,200",Christopher,945,57,hair care products,Fashion & Retail,M,Florida
William Lauder,"$2,200",Lauder,945,59,Estee Lauder,Fashion & Retail,M,New York
Brian Sheth,"$2,200",Sheth,945,44,investments,Finance & Investments,M,Texas
Bruce Karsh,"$2,200",Karsh,945,64,private equity,Finance & Investments,M,California
Howard Marks,"$2,200",Marks,945,73,private equity,Finance & Investments,M,New York
James Dinan,"$2,200",Dinan,945,60,hedge funds,Finance & Investments,M,New York
Joseph Grendys,"$2,200",Grendys,945,58,poultry processing,Food & Beverage,M,Illinois
Jon Yarbrough,"$2,200",Yarbrough,945,62,video games,Gambling & Casinos,M,Tennessee
Ben Chestnut,"$2,200",Chestnut,945,45,email marketing,Technology,M,Georgia
Dan Kurzius,"$2,200",Kurzius,945,48,email marketing,Technology,M,Georgia
James Clark,"$2,200",Clark,945,76,"Netscape, investments",Technology,M,Florida
Jim Kavanaugh,"$2,200",Kavanaugh,945,57,IT provider,Technology,M,Missouri
Kavitark Ram Shriram,"$2,200",Shriram,945,63,"venture capital, Google",Technology,M,California
Gordon Getty,"$2,100",Getty,1001,86,Getty Oil,Energy,M,California
Aerin Lauder,"$2,100",Lauder,1001,49,cosmetics,Fashion & Retail,F,New York
John Fisher,"$2,100",Fisher,1001,58,Gap,Fashion & Retail,M,California
Gerald Ford,"$2,100",Ford,1001,75,banking,Finance & Investments,M,Texas
Henry Laufer,"$2,100",Laufer,1001,74,hedge funds,Finance & Investments,M,Florida
Jeffrey Gundlach,"$2,100",Gundlach,1001,61,investments,Finance & Investments,M,California
Jose Feliciano,"$2,100",Feliciano,1001,46,private equity,Finance & Investments,M,California
Alejandro Santo Domingo,"$2,100",Santo Domingo,1001,43,beer,Food & Beverage,M,New York
Andres Santo Domingo,"$2,100",Santo Domingo,1001,41,beer,Food & Beverage,M,New York
Leonard Schleifer,"$2,100",Schleifer,1001,67,pharmaceuticals,Healthcare,M,New York
Bill Austin,"$2,100",Austin,1001,78,hearing aids,Manufacturing,M,Texas
William Young,"$2,100",Young,1001,79,plastics,Manufacturing,M,Michigan
Charles Zegar,"$2,100",Zegar,1001,72,Bloomberg LP,Media & Entertainment,M,New York
Ted Turner,"$2,100",Turner,1001,81,cable television,Media & Entertainment,M,Georgia
Donald Trump,"$2,100",Trump,1001,73,real estate,Real Estate,M,District of Columbia
Jay Paul,"$2,100",Paul,1001,72,real estate,Real Estate,M,California
John Arrillaga,"$2,100",Arrillaga,1001,83,real estate,Real Estate,M,California
Michael Jordan,"$2,100",Jordan,1001,57,"Charlotte Hornets, endorsements",Sports,M,Florida
David Filo,"$2,100",Filo,1001,53,Yahoo,Technology,M,California
Alec Gores,"$2,000",Gores,1063,67,private equity,Finance & Investments,M,California
Behdad Eghbali,"$2,000",Eghbali,1063,46,private equity,Finance & Investments,M,California
David Gottesman,"$2,000",Gottesman,1063,93,investments,Finance & Investments,M,New York
Glenn Dubin,"$2,000",Dubin,1063,62,hedge funds,Finance & Investments,M,New York
T. Denny Sanford,"$2,000",Sanford,1063,84,"banking, credit cards",Finance & Investments,M,South Dakota
Thomas Lee,"$2,000",Lee,1063,76,private equity,Finance & Investments,M,New York
Vincent Viola,"$2,000",Viola,1063,64,electronic trading,Finance & Investments,M,New York
Carol Jenkins Barnett,"$2,000",Barnett,1063,63,Publix supermarkets,Food & Beverage,F,Florida
David Murdock,"$2,000",Murdock,1063,96,"Dole, real estate",Food & Beverage,M,California
Rodney Sacks,"$2,000",Sacks,1063,70,energy drinks,Food & Beverage,M,California
S. Daniel Abraham,"$2,000",Abraham,1063,95,Slim-Fast,Food & Beverage,M,Florida
Amy Wyss,"$2,000",Wyss,1063,49,medical equipment,Healthcare,F,Wyoming
Pat Stryker,"$2,000",Stryker,1063,64,medical equipment,Healthcare,F,Colorado
Ronald Wanek,"$2,000",Wanek,1063,78,furniture,Manufacturing,M,Florida
Kenneth Feld,"$2,000",Feld,1063,71,live entertainment,Media & Entertainment,M,Florida
Stanley Hubbard,"$2,000",Hubbard,1063,86,DirecTV,Media & Entertainment,M,Minnesota
"H. Ross Perot, Jr.","$2,000",Perot,1063,61,real estate,Real Estate,M,Texas
Linda Pritzker,"$2,000",Pritzker,1063,66,"hotels, investments",Service,F,Montana
Vinod Khosla,"$2,000",Khosla,1063,65,venture capital,Technology,M,California
Riley Bechtel,"$1,900",Bechtel,1135,68,"engineering, construction",Construction & Engineering,M,California
"Stephen Bechtel, Jr.","$1,900",Bechtel,1135,94,"engineering, construction",Construction & Engineering,M,California
Sid Bass,"$1,900",Bass,1135,77,"oil, investments",Energy,M,Texas
J. Joe Ricketts,"$1,900",Ricketts,1135,78,TD Ameritrade,Finance & Investments,M,Wyoming
Larry Robbins,"$1,900",Robbins,1135,50,hedge funds,Finance & Investments,M,New Jersey
Nick Caporella,"$1,900",Caporella,1135,84,beverages,Food & Beverage,M,Florida
Hao Hong,"$1,900",Hao,1135,64,pharmaceuticals,Healthcare,M,
Randal J. Kirk,"$1,900",Kirk,1135,66,pharmaceuticals,Healthcare,M,Florida
George Argyros,"$1,900",Argyros,1135,83,"real estate, investments",Real Estate,M,California
Jorge Perez,"$1,900",Perez,1135,70,real estate,Real Estate,M,Florida
Jennifer Pritzker,"$1,900",Pritzker,1135,69,"hotels, investments",Service,F,Illinois
Nicholas Pritzker,"$1,900",Pritzker,1135,76,"hotels, investments",Service,M,California
Bobby Murphy,"$1,900",Murphy,1135,31,Snapchat,Technology,M,California
Evan Spiegel,"$1,900",Spiegel,1135,29,Snapchat,Technology,M,California
Edward Bass,"$1,800",Bass,1196,74,"oil, investments",Energy,M,Texas
Lee Bass,"$1,800",Bass,1196,63,"oil, investments",Energy,M,Texas
Henry Swieca,"$1,800",Swieca,1196,62,hedge funds,Finance & Investments,M,New York
Jonathan Nelson,"$1,800",Nelson,1196,63,private equity,Finance & Investments,M,Rhode Island
Marc Lasry,"$1,800",Lasry,1196,59,hedge funds,Finance & Investments,M,New York
Robert Sands,"$1,800",Sands,1196,61,liquor,Food & Beverage,M,New York
Robert Duggan,"$1,800",Duggan,1196,75,pharmaceuticals,Healthcare,M,Florida
Todd Wagner,"$1,800",Wagner,1196,59,online media,Media & Entertainment,M,Texas
James France,"$1,800",France,1196,75,"Nascar, racing",Sports,M,Florida
Vincent McMahon,"$1,800",McMahon,1196,74,entertainment,Sports,M,Connecticut
Evan Williams,"$1,800",Williams,1196,48,Twitter,Technology,M,California
Reid Hoffman,"$1,800",Hoffman,1196,52,LinkedIn,Technology,M,California
Craig McCaw,"$1,800",McCaw,1196,70,telecom,Telecom,M,Washington
Gail Miller,"$1,700",Miller,1267,76,car dealerships,Automotive,F,Utah
Ray Davis,"$1,700",Davis,1267,78,pipelines,Energy,M,Texas
Timothy Boyle,"$1,700",Boyle,1267,70,Columbia Sportswear,Fashion & Retail,M,Oregon
Jeffrey Talpins,"$1,700",Talpins,1267,45,hedge fund,Finance & Investments,M,New York
Charlotte Colket Weber,"$1,700",Weber,1267,77,Campbell Soup,Food & Beverage,F,Florida
Christopher Goldsbury,"$1,700",Goldsbury,1267,77,salsa,Food & Beverage,M,Texas
Jimmy John Liautaud,"$1,700",Liautaud,1267,56,sandwich chain,Food & Beverage,M,Florida
Gary Michelson,"$1,700",Michelson,1267,71,medical patents,Healthcare,M,California
Paul Xiaoming Lee,"$1,700",Paul,1267,62,packaging,Manufacturing,M,
David Lichtenstein,"$1,700",Lichtenstein,1267,58,real estate,Real Estate,M,New York
Brian Roberts,"$1,700",Roberts,1267,60,Comcast,Service,M,Pennsylvania
Leslie Alexander,"$1,700",Alexander,1267,76,sports team,Sports,M,Texas
Aneel Bhusri,"$1,700",Bhusri,1267,54,business software,Technology,M,California
Phillip T. (Terry) Ragon,"$1,700",Ragon,1267,70,health IT,Technology,M,Massachusetts
Herb Chambers,"$1,600",Chambers,1335,78,car dealerships,Automotive,M,Massachusetts
Evgeny (Eugene) Shvidler,"$1,600",Shvidler,1335,56,"oil & gas, investments",Energy,M,
Bill Haslam,"$1,600",Haslam,1335,61,gas stations,Fashion & Retail,M,Tennessee
Brian Higgins,"$1,600",Higgins,1335,55,hedge funds,Finance & Investments,M,New York
Charles Munger,"$1,600",Munger,1335,96,Berkshire Hathaway,Finance & Investments,M,California
J. Hyatt Brown,"$1,600",Brown,1335,82,insurance,Finance & Investments,M,Florida
J. Tomilson Hill,"$1,600",Hill,1335,71,investments,Finance & Investments,M,New York
Nelson Peltz,"$1,600",Peltz,1335,77,investments,Finance & Investments,M,New York
O. Francis Biondi,"$1,600",Biondi,1335,55,hedge funds,Finance & Investments,M,New York
Thomas Steyer,"$1,600",Steyer,1335,62,hedge funds,Finance & Investments,M,California
Chuck Bundrant,"$1,600",Bundrant,1335,78,fishing,Food & Beverage,M,Washington
Catherine Lozick,"$1,600",Lozick,1335,74,valve manufacturing,Manufacturing,F,Florida
Valentin Gapontsev,"$1,600",Gapontsev,1335,81,lasers,Manufacturing,M,Massachusetts
"Edward DeBartolo, Jr.","$1,600",DeBartolo,1335,73,shopping centers,Real Estate,M,Florida
Martin Selig,"$1,600",Selig,1335,82,real estate,Real Estate,M,Washington
Anthony Wood,"$1,600",Wood,1335,54,Roku,Technology,M,California
Chad Richison,"$1,600",Richison,1335,49,payroll processing,Technology,M,Oklahoma
William Koch,"$1,500",Koch,1415,79,"oil, investments",Energy,M,Florida
Bill Gross,"$1,500",Gross,1415,75,investments,Finance & Investments,M,California
Louis Bacon,"$1,500",Bacon,1415,63,hedge funds,Finance & Investments,M,New York
Mario Gabelli,"$1,500",Gabelli,1415,78,money management,Finance & Investments,M,Connecticut
Nicolas Berggruen,"$1,500",Berggruen,1415,58,investments,Finance & Investments,M,California
Seth Klarman,"$1,500",Klarman,1415,62,investments,Finance & Investments,M,Massachusetts
Stephen Feinberg,"$1,500",Feinberg,1415,60,private equity,Finance & Investments,M,New York
Stewart Horejsi,"$1,500",Horejsi,1415,82,Berkshire Hathaway,Finance & Investments,M,Arizona
Duke Reyes,"$1,500",Reyes,1415,63,beer distribution,Food & Beverage,M,Florida
John Tyson,"$1,500",Tyson,1415,66,food processing,Food & Beverage,M,Arkansas
Alice Schwartz,"$1,500",Schwartz,1415,93,biotech,Healthcare,F,California
James Leininger,"$1,500",Leininger,1415,75,medical products,Healthcare,M,Texas
Phillip Frost,"$1,500",Frost,1415,83,pharmaceuticals,Healthcare,M,Florida
Bradley Jacobs,"$1,500",Jacobs,1415,63,logistics,Logistics,M,Connecticut
Manuel Moroun,"$1,500",Moroun,1415,92,transportation,Logistics,M,Michigan
Alan Gerry,"$1,500",Gerry,1415,91,cable television,Media & Entertainment,M,New York
Peter Sperling,"$1,500",Sperling,1415,60,education,Service,M,Arizona
"Frank Fertitta, III.","$1,500",Fertitta,1415,58,"casinos, mixed martial arts",Sports,M,Nevada
Jerry Reinsdorf,"$1,500",Reinsdorf,1415,84,sports teams,Sports,M,Illinois
Lorenzo Fertitta,"$1,500",Fertitta,1415,51,"casinos, mixed martial arts",Sports,M,Nevada
Orion Hindawi,"$1,500",Hindawi,1415,40,software,Technology,M,California
Sheryl Sandberg,"$1,500",Sandberg,1415,50,Facebook,Technology,F,California
Kenny Troutt,"$1,500",Troutt,1415,72,telecom,Telecom,M,Texas
Billy Joe (Red) McCombs,"$1,400",McCombs,1513,92,"real estate, oil, cars, sports",Diversified,M,Texas
James Duff,"$1,400",Duff,1513,59,"tires, diversified",Diversified,M,Mississippi
Jonathan Tisch,"$1,400",Tisch,1513,66,"insurance, NFL team",Diversified,M,New York
Thomas Duff,"$1,400",Duff,1513,63,"tires, diversified",Diversified,M,Mississippi
Paul Foster,"$1,400",Foster,1513,62,oil refining,Energy,M,Texas
W. Herbert Hunt,"$1,400",Hunt,1513,91,oil,Energy,M,Texas
Bill Alfond,"$1,400",Alfond,1513,71,shoes,Fashion & Retail,M,Massachusetts
Kathy Fields,"$1,400",Fields,1513,61,skin care,Fashion & Retail,F,California
Katie Rodan,"$1,400",Rodan,1513,64,skin care,Fashion & Retail,F,California
Susan Alfond,"$1,400",Alfond,1513,74,shoes,Fashion & Retail,F,Maine
Ted Alfond,"$1,400",Alfond,1513,75,shoes,Fashion & Retail,M,Massachusetts
David Booth,"$1,400",Booth,1513,74,mutual funds,Finance & Investments,M,Texas
Felix Baker,"$1,400",Baker,1513,51,biotech investing,Finance & Investments,M,New York
George Joseph,"$1,400",Joseph,1513,98,insurance,Finance & Investments,M,California
Hamilton James,"$1,400",James,1513,68,investments,Finance & Investments,M,New York
"Herbert Allen, Jr.","$1,400",Allen,1513,80,investment banking,Finance & Investments,M,New York
Julian Baker,"$1,400",Baker,1513,53,biotech,Finance & Investments,M,New York
Philippe Laffont,"$1,400",Laffont,1513,52,hedge fund,Finance & Investments,M,New York
Ron Burkle,"$1,400",Burkle,1513,67,"supermarkets, investments",Finance & Investments,M,
Scott Kapnick,"$1,400",Kapnick,1513,61,private equity,Finance & Investments,M,Florida
Sue Gross,"$1,400",Gross,1513,70,investments,Finance & Investments,F,California
William Ackman,"$1,400",Ackman,1513,53,hedge funds,Finance & Investments,M,New York
Peter Buck,"$1,400",Buck,1513,89,Subway sandwich shops,Food & Beverage,M,Connecticut
Elaine Wynn,"$1,400",Wynn,1513,77,"casinos, hotels",Gambling & Casinos,F,Nevada
Osman Kibar,"$1,400",Kibar,1513,49,biotech,Healthcare,M,California
Eren Ozmen,"$1,400",Ozmen,1513,61,aerospace,Manufacturing,F,Nevada
Fatih Ozmen,"$1,400",Ozmen,1513,62,aerospace,Manufacturing,M,Nevada
Stephen Winn,"$1,400",Winn,1513,73,real estate services,Real Estate,M,Texas
Maggie Hardy Knox,"$1,400",Hardy Knox,1513,54,building materials,Service,F,Pennsylvania
Theodore Leonsis,"$1,400",Leonsis,1513,64,sports teams,Sports,M,Maryland
Bharat Desai,"$1,400",Desai,1513,67,IT consulting,Technology,M,Florida
Chris Wanstrath,"$1,400",Wanstrath,1513,35,software,Technology,M,California
David Hindawi,"$1,400",Hindawi,1513,75,software,Technology,M,California
David Zalik,"$1,400",Zalik,1513,46,financial technology,Technology,M,Georgia
John Bicket,"$1,400",Bicket,1513,40,sensor systems,Technology,M,California
Leo Koguan,"$1,400",Koguan,1513,65,IT provider,Technology,M,Texas
Sanjit Biswas,"$1,400",Biswas,1513,38,sensor systems,Technology,M,California
Steve Case,"$1,400",Case,1513,61,AOL,Technology,M,Virginia
Sidney Kimmel,"$1,300",Kimmel,1613,92,retail,Fashion & Retail,M,New York
Duncan MacMillan,"$1,300",MacMillan,1613,82,Bloomberg LP,Finance & Investments,M,New Jersey
Alexandra Daitch,"$1,300",Daitch,1613,57,Cargill,Food & Beverage,F,Connecticut
Jim Koch,"$1,300",Koch,1613,70,beer,Food & Beverage,M,Massachusetts
Lucy Stitzer,"$1,300",Stitzer,1613,60,Cargill,Food & Beverage,F,Connecticut
Sarah MacMillan,"$1,300",MacMillan,1613,66,Cargill,Food & Beverage,F,California
John Martin,"$1,300",Martin,1613,68,pharmaceuticals,Healthcare,M,California
Alexander Rovt,"$1,300",Rovt,1613,67,"fertilizer, real estate",Manufacturing,M,New York
Anita Zucker,"$1,300",Zucker,1613,68,chemicals,Manufacturing,F,South Carolina
Frank Laukien,"$1,300",Laukien,1613,60,scientific equipment,Manufacturing,M,Massachusetts
"B. Wayne Hughes, Jr.","$1,300",Hughes,1613,59,storage facilities,Real Estate,M,California
Darwin Deason,"$1,300",Deason,1613,79,Xerox,Service,M,Texas
Kenneth Tuchman,"$1,300",Tuchman,1613,60,outsourcing,Service,M,Colorado
Jim Crane,"$1,300",Crane,1613,66,"logistics, baseball",Sports,M,Texas
Alexander Karp,"$1,300",Karp,1613,52,software firm,Technology,M,California
Craig Newmark,"$1,300",Newmark,1613,67,Craigslist,Technology,M,California
Drew Houston,"$1,300",Houston,1613,37,cloud storage service,Technology,M,California
Hui Deng,"$1,300",Hui,1613,57,software,Technology,M,
Ken Xie,"$1,300",Xie,1613,57,cybersecurity,Technology,M,California
Kevin Systrom,"$1,300",Systrom,1613,36,Instagram,Technology,M,California
Michael Krasny,"$1,300",Krasny,1613,66,retail,Technology,M,Illinois
Ryan Smith,"$1,300",Smith,1613,41,cloud computing,Technology,M,Utah
Steven Sarowitz,"$1,300",Sarowitz,1613,54,payroll software,Technology,M,Illinois
Vlad Shmunis,"$1,300",Shmunis,1613,59,cloud technology,Technology,M,California
William Stone,"$1,300",Stone,1613,64,software,Technology,M,Florida
Farris Wilks,"$1,200",Wilks,1730,68,natural gas,Energy,M,Texas
"Jim Justice, II.","$1,200",Justice,1730,68,coal,Energy,M,West Virginia
Timothy Headington,"$1,200",Headington,1730,69,"oil & gas, investments",Energy,M,Texas
Yvon Chouinard,"$1,200",Chouinard,1730,81,Patagonia,Fashion & Retail,M,California
Greg Mondre,"$1,200",Mondre,1730,45,private equity,Finance & Investments,M,New York
Henry Engelhardt,"$1,200",Engelhardt,1730,62,insurance,Finance & Investments,M,
J. Christopher Flowers,"$1,200",Flowers,1730,62,investments,Finance & Investments,M,New York
Jamie Dimon,"$1,200",Dimon,1730,64,banking,Finance & Investments,M,New York
Joseph Edelman,"$1,200",Edelman,1730,64,hedge funds,Finance & Investments,M,New York
Kenneth Hao,"$1,200",Hao,1730,51,private equity,Finance & Investments,M,California
Lawrence Golub,"$1,200",Golub,1730,60,private equity,Finance & Investments,M,New York
Marc Andreessen,"$1,200",Andreessen,1730,48,venture capital investing,Finance & Investments,M,California
Mike Bingle,"$1,200",Bingle,1730,47,private equity,Finance & Investments,M,Connecticut
Thomas Bailey,"$1,200",Bailey,1730,83,money management,Finance & Investments,M,Colorado
Wilma Tisch,"$1,200",Tisch,1730,92,diversified,Finance & Investments,F,New York
Daniel Lubetzky,"$1,200",Lubetzky,1730,51,snack bars,Food & Beverage,M,New York
Forrest Preston,"$1,200",Preston,1730,87,health care,Healthcare,M,Tennessee
Jerry Moyes,"$1,200",Moyes,1730,76,transportation,Logistics,M,Arizona
Jim Thompson,"$1,200",Thompson,1730,80,logistics,Logistics,M,
John Farber,"$1,200",Farber,1730,94,chemicals,Manufacturing,M,New York
Thomas Tull,"$1,200",Tull,1730,49,"movies, investments",Media & Entertainment,M,California
George Marcus,"$1,200",Marcus,1730,78,real estate,Real Estate,M,California
Joe Lacob,"$1,200",Lacob,1730,64,Golden State Warriors,Sports,M,California
Jared Smith,"$1,200",Smith,1730,45,cloud computing,Technology,M,Utah
Mark Pincus,"$1,200",Pincus,1730,54,online games,Technology,M,California
Tom Preston-Werner,"$1,200",Preston-Werner,1730,40,collaborative software,Technology,M,California
Donald Foss,"$1,100",Foss,1851,75,auto loans,Automotive,M,Michigan
Roger Penske,"$1,100",Penske,1851,83,cars,Automotive,M,Michigan
Trevor Milton,"$1,100",Milton,1851,38,electric vehicles,Automotive,M,Arizona
Dan Wilks,"$1,100",Wilks,1851,63,natural gas,Energy,M,Texas
Tor Peterson,"$1,100",Peterson,1851,55,commodities,Energy,M,
Kevin Plank,"$1,100",Plank,1851,47,Under Armour,Fashion & Retail,M,Maryland
Paul Fireman,"$1,100",Fireman,1851,76,Reebok,Fashion & Retail,M,Massachusetts
David Golub,"$1,100",Golub,1851,57,private equity,Finance & Investments,M,New York
Fayez Sarofim,"$1,100",Sarofim,1851,91,money management,Finance & Investments,M,Texas
Michael Price,"$1,100",Price,1851,67,investments,Finance & Investments,M,New Jersey
Michael Steinhardt,"$1,100",Steinhardt,1851,79,hedge funds,Finance & Investments,M,New York
Nancy Lerner,"$1,100",Lerner,1851,59,"banking, credit cards",Finance & Investments,F,Ohio
Norma Lerner,"$1,100",Lerner,1851,84,banking,Finance & Investments,F,Ohio
Randolph Lerner,"$1,100",Lerner,1851,58,"banking, credit cards",Finance & Investments,M,Ohio
Richard Kayne,"$1,100",Kayne,1851,74,investments,Finance & Investments,M,California
Thomas James,"$1,100",James,1851,77,finance,Finance & Investments,M,Florida
Henry Davis,"$1,100",Davis,1851,69,beef processing,Food & Beverage,M,Nebraska
"Richard Yuengling, Jr.","$1,100",Yuengling,1851,77,beer,Food & Beverage,M,Pennsylvania
George Yancopoulos,"$1,100",Yancopoulos,1851,60,pharmaceuticals,Healthcare,M,New York
Donald Friese,"$1,100",Friese,1851,79,manufacturing,Manufacturing,M,California
Todd Wanek,"$1,100",Wanek,1851,56,furniture,Manufacturing,M,Florida
Gary Magness,"$1,100",Magness,1851,66,"cable TV, investments",Media & Entertainment,M,Colorado
Frederic Luddy,"$1,100",Luddy,1851,65,software,Technology,M,California
Patrick Hanrahan,"$1,100",Hanrahan,1851,64,software,Technology,M,California
David Hall,"$1,000",Hall,1990,68,automotive technology,Automotive,M,California
RJ Scaringe,"$1,000",Scaringe,1990,36,electric vehicles,Automotive,M,California
Laurie Tisch,"$1,000",Tisch,1990,69,"insurance, NFL team",Diversified,F,New York
Steven Tisch,"$1,000",Tisch,1990,71,insurance,Diversified,M,California
Kylie Jenner,"$1,000",Jenner,1990,22,cosmetics,Fashion & Retail,F,California
Brian Armstrong,"$1,000",Armstrong,1990,37,cryptocurrency,Finance & Investments,M,California
Carl Thoma,"$1,000",Thoma,1990,71,investments,Finance & Investments,M,Illinois
David Kabiller,"$1,000",Kabiller,1990,56,investment management,Finance & Investments,M,Connecticut
John Liew,"$1,000",Liew,1990,52,investment management,Finance & Investments,M,Connecticut
Lowell Milken,"$1,000",Milken,1990,71,investments,Finance & Investments,M,California
Sandy Weill,"$1,000",Weill,1990,87,Citigroup,Finance & Investments,M,California
Wesley Edens,"$1,000",Edens,1990,58,investments,Finance & Investments,M,New York
GT Dave,"$1,000",Dave,1990,43,kombucha,Food & Beverage,M,California
"Julio Mario Santo Domingo, III.","$1,000",Santo Domingo,1990,34,beer,Food & Beverage,M,New York
David Paul,"$1,000",Paul,1990,53,medical devices,Healthcare,M,Pennsylvania
Linden Blue,"$1,000",Blue,1990,83,defense,Manufacturing,M,California
Edmund Ansin,"$1,000",Ansin,1990,84,television,Media & Entertainment,M,Florida
Jay-Z,"$1,000",Jay-Z,1990,50,diversified,Media & Entertainment,M,New York
Jeff Green,"$1,000",Green,1990,43,digital advertising,Media & Entertainment,M,California
Axel Stawski,"$1,000",Stawski,1990,69,real estate,Real Estate,M,New York
Bom Kim,"$1,000",Kim,1990,41,online retailing,Technology,M,
Jayshree Ullal,"$1,000",Ullal,1990,59,computer networking,Technology,F,California
Neerja Sethi,"$1,000",Sethi,1990,65,"IT consulting, outsourcing",Technology,F,Florida
Scott Smith,"$1,000",Smith,1990,70,cloud computing,Technology,M,Utah
