Source: Forbes Billionaires List Data,,,,,,,,
Name and Rank,Wealth (Millions),Surname,World Rank,Age,Wealth Source,Industry,Gender,State
Tom & Judy Love,"$6,500",Love,230,82,retail & gas stations,Fashion & Retail,,Oklahoma
Daniel Gilbert,"$6,500",Gilbert,230,58,Quicken Loans,Finance & Investments,M,Michigan
Patrick Soon-Shiong,"$6,400",Soon-Shiong,237,67,pharmaceuticals,Healthcare,M,California
David Green,"$6,300",Green,241,78,retail,Fashion & Retail,M,Oklahoma
Marijke Mars,"$6,200",Mars,248,55,"candy, pet food",Food & Beverage,F,California
Pamela Mars,"$6,200",Mars,248,59,"candy, pet food",Food & Beverage,F,Virginia
Valerie Mars,"$6,200",Mars,248,61,"candy, pet food",Food & Beverage,F,New York
Victoria Mars,"$6,200",Mars,248,63,"candy, pet food",Food & Beverage,F,Pennsylvania
David Siegel,"$6,100",Siegel,253,58,hedge funds,Finance & Investments,M,New York
John Overdeck,"$6,100",Overdeck,253,50,hedge funds,Finance & Investments,M,New Jersey
James Goodnight,"$6,100",Goodnight,253,77,software,Technology,M,North Carolina
"Herbert Kohler, Jr.","$5,900",Kohler,268,81,plumbing fixtures,Manufacturing,M,Wisconsin
Steven Rales,"$5,800",Rales,274,69,manufacturing,Manufacturing,M,California
John Malone,"$5,800",Malone,274,79,cable television,Media & Entertainment,M,Colorado
Marc Benioff,"$5,800",Benioff,274,55,business software,Technology,M,California
Ralph Lauren,"$5,700",Lauren,280,80,apparel,Fashion & Retail,M,New York
Tom Gores,"$5,700",Gores,280,55,private equity,Finance & Investments,M,California
George Kaiser,"$5,600",Kaiser,286,77,"oil & gas, banking",Energy,M,Oklahoma
Dennis Washington,"$5,500",Washington,293,85,"construction, mining",Logistics,M,Montana
Eric Yuan,"$5,500",Yuan,293,50,video conferencing,Technology,M,California
"Edward Johnson, III.","$5,400",Johnson,304,89,money management,Finance & Investments,M,Massachusetts
Charles Ergen,"$5,400",Ergen,304,67,satellite TV,Media & Entertainment,M,Colorado
Bruce Kovner,"$5,300",Kovner,308,75,hedge funds,Finance & Investments,M,New York
George Roberts,"$5,300",Roberts,308,76,private equity,Finance & Investments,M,California
Reinhold Schmieding,"$5,300",Schmieding,308,65,medical devices,Healthcare,M,Florida
Richard Kinder,"$5,200",Kinder,315,75,pipelines,Energy,M,Texas
Henry Kravis,"$5,200",Kravis,315,76,private equity,Finance & Investments,M,New York
"Paul Tudor Jones, II.","$5,100",Jones,320,65,hedge funds,Finance & Investments,M,Florida
James Chambers,"$5,100",Chambers,320,62,"media, automotive",Media & Entertainment,M,New York
Katharine Rayner,"$5,100",Rayner,320,75,"media, automotive",Media & Entertainment,F,New York
