Source: Forbes Billionaires List Data,,,,,,,,,,,,,,,,,,,,,,
Name and Rank,Surname,World Rank,Wealth (Millions),Age,Wealth Source,Industry,Gender,City,State,,,,,,,,,,,,,
Carl Icahn,Icahn,61,"$17,400 ",83,investments,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Thomas Peterffy,Peterffy,63,"$17,100 ",75,discount brokerage,Finance & Investments,M,Palm Beach,FL,,,,,,,,,,,,,
Donald Bren,Bren,68,"$16,400 ",87,real estate,Real Estate,M,Newport Beach,CA,,,,,,,,,,,,,
Abigail Johnson,Johnson,71,"$15,600 ",58,money management,Finance & Investments,F,Milton,MA,,,,,,,,,,,,,
Lukas Walton,Walton,75,"$15,200 ",33,Walmart,Fashion & Retail,M,Jackson,WY,,,,,,,,,,,,,
Leonard Lauder,Lauder,82,"$14,600 ",82,Estee Lauder,Fashion & Retail,M,New York,NY,,,,,,,,,,,,,
Stephen Schwarzman,Schwarzman,100,"$13,200 ",72,investments,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Roger Wang,Wang,546,"$3,800 ",71,retail,Fashion & Retail,M,Nanjing,China,,,,,,,,,,,,,
Eric Schmidt,Schmidt,101,"$12,900 ",64,Google,Technology,M,Atherton,CA,,,,,,,,,,,,,
Harold Hamm,Hamm,105,"$12,700 ",74,oil & gas,Energy,M,Oklahoma City,OK,,,,,,,,,,,,,
"Thomas Frist, Jr.",Frist,107,"$12,400 ",81,hospitals,Healthcare,M,Nashville,TN,,,,,,,,,,,,,
David Duffield,Duffield,114,"$11,800 ",79,business software,Technology,M,Incline Village,NV,,,,,,,,,,,,,
Donald Newhouse,Newhouse,114,"$11,800 ",90,media,Media & Entertainment,M,New York,NY,,,,,,,,,,,,,
Ken Griffin,Griffin,117,"$11,700 ",51,hedge funds,Finance & Investments,M,Chicago,IL,,,,,,,,,,,,,
David Tepper,Tepper,118,"$11,600 ",62,hedge funds,Finance & Investments,M,Miami Beach,FL,,,,,,,,,,,,,
Pierre Omidyar,Omidyar,120,"$11,400 ",52,"eBay, PayPal",Technology,M,Honolulu,HI,,,,,,,,,,,,,
Dustin Moskovitz,Moskovitz,122,"$11,100 ",35,Facebook,Technology,M,San Francisco,CA,,,,,,,,,,,,,
Philip Anschutz,Anschutz,128,"$10,900 ",80,investments,Finance & Investments,M,Denver,CO,,,,,,,,,,,,,
"John Menard, Jr.",Menard,133,"$10,500 ",79,home improvement stores,Fashion & Retail,M,Eau Claire,WI,,,,,,,,,,,,,
Gordon Moore,Moore,140,"$9,700 ",91,Intel,Technology,M,Woodside,CA,,,,,,,,,,,,,
Charles Ergen,Ergen,143,"$9,600 ",66,satellite TV,Media & Entertainment,M,Denver,CO,,,,,,,,,,,,,
Jan Koum,Koum,143,"$9,600 ",43,WhatsApp,Technology,M,Santa Clara,CA,,,,,,,,,,,,,
Ronald Perelman,Perelman,149,"$9,400 ",77,leveraged buyouts,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Jim Kennedy,Kennedy,153,"$9,300 ",72,"media, automotive",Media & Entertainment,M,Atlanta,GA,,,,,,,,,,,,,
Lin Bin,Lin,597,"$3,600 ",51,smartphones,Technology,M,Bejing,China,,,,,,,,,,,,,
Andrew Beal,Beal,158,"$9,100 ",67,"banks, real estate",Finance & Investments,M,Dallas,TX,,,,,,,,,,,,,
Li Ge,Li,617,"$3,500 ",53,biotech,Healthcare,M,Shanghai,China,,,,,,,,,,,,,
Micky Arison,Arison,162,"$8,900 ",70,Carnival Cruises,Service,M,Bal Harbour,FL,,,,,,,,,,,,,
James Goodnight,Goodnight,162,"$8,900 ",77,software,Technology,M,Cary,NC,,,,,,,,,,,,,
Stanley Kroenke,Kroenke,167,"$8,700 ",72,"sports, real estate",Sports,M,Columbia,MO,,,,,,,,,,,,,
Carl Cook,Cook,178,"$8,300 ",57,medical devices,Healthcare,M,Bloomington,IN,,,,,,,,,,,,,
Charles Schwab,Schwab,178,"$8,300 ",82,discount brokerage,Finance & Investments,M,Woodside,CA,,,,,,,,,,,,,
George Soros,Soros,178,"$8,300 ",89,hedge funds,Finance & Investments,M,Katonah,NY,,,,,,,,,,,,,
David Geffen,Geffen,187,"$7,800 ",76,"movies, record labels",Media & Entertainment,M,Beverly Hills,CA,,,,,,,,,,,,,
"Edward Johnson, III.",Johnson,187,"$7,800 ",89,money management,Finance & Investments,M,Boston,MA,,,,,,,,,,,,,
Stephen Ross,Ross,191,"$7,600 ",79,real estate,Real Estate,M,New York,NY,,,,,,,,,,,,,
George Kaiser,Kaiser,191,"$7,600 ",77,"oil & gas, banking",Energy,M,Tulsa,OK,,,,,,,,,,,,,
"Herbert Kohler, Jr.",Kohler,200,"$7,300 ",80,plumbing fixtures,Manufacturing,M,Kohler,WI,,,,,,,,,,,,,
John Malone,Malone,203,"$7,200 ",78,cable television,Media & Entertainment,M,Elizabeth,CO,,,,,,,,,,,,,
Christy Walton,Walton,203,"$7,200 ",70,Walmart,Fashion & Retail,F,Jackson,WY,,,,,,,,,,,,,
David Green,Green,209,"$7,000 ",78,retail,Fashion & Retail,M,Oklahoma City,OK,,,,,,,,,,,,,
Tom & Judy Love,Love,209,"$7,000 ",82,retail & gas stations,Fashion & Retail,,Oklahoma City,OK,,,,,,,,,,,,,
David Shaw,Shaw,209,"$7,000 ",68,hedge funds,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Patrick Soon-Shiong,Soon-Shiong,209,"$7,000 ",67,pharmaceuticals,Healthcare,M,Los Angeles,CA,,,,,,,,,,,,,
John Doerr,Doerr,215,"$6,900 ",68,venture capital,Technology,M,Woodside,CA,,,,,,,,,,,,,
Pauline MacMillan Keinath,Keinath,215,"$6,900 ",86,Cargill,Food & Beverage,F,St. Louis,MO,,,,,,,,,,,,,
Ralph Lauren,Lauren,215,"$6,900 ",80,Ralph Lauren,Fashion & Retail,M,New York,NY,,,,,,,,,,,,,
Robert Pera,Pera,215,"$6,900 ",41,wireless networking gear,Technology,M,San Jose,CA,,,,,,,,,,,,,
Jerry Jones,Jones,224,"$6,800 ",77,Dallas Cowboys,Sports,M,Dallas,TX,,,,,,,,,,,,,
Shahid Khan,Khan,224,"$6,800 ",69,auto parts,Automotive,M,Naples,FL,,,,,,,,,,,,,
