Source: Forbes Billionaires List Data,,,,,,,,,,,,,,,,,,,,,,
Name and Rank,Surname,World Rank,Wealth (Millions),Age,Wealth Source,Industry,Gender,City,State,,,,,,,,,,,,,
Ken Fisher,Fisher,617,"$3,500 ",69,money management,Finance & Investments,M,Camas,WA,,,,,,,,,,,,,
Tom Golisano,Golisano,617,"$3,500 ",78,payroll services,Service,M,Naples,FL,,,,,,,,,,,,,
Joshua Harris,Harris,617,"$3,500 ",55,private equity,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
"Edward Johnson, IV.",Johnson,617,"$3,500 ",55,money management,Finance & Investments,M,Boston,MA,,,,,,,,,,,,,
Elizabeth Johnson,Johnson,617,"$3,500 ",56,money management,Finance & Investments,F,Boston,MA,,,,,,,,,,,,,
Min Kao,Kao,617,"$3,500 ",71,navigation equipment,Technology,M,Leawood,KS,,,,,,,,,,,,,
Alexandra Daitch,Daitch,1227,"$1,900 ",57,Cargill,Food & Beverage,F,Old Lyme,CT,,,,,,,,,,,,,
Daniel Och,Och,617,"$3,500 ",58,hedge funds,Finance & Investments,M,Scarsdale,NY,,,,,,,,,,,,,
Howard Schultz,Schultz,617,"$3,500 ",66,Starbucks,Food & Beverage,M,Seattle,WA,,,,,,,,,,,,,
Charles Cohen,Cohen,645,"$3,400 ",67,real estate,Real Estate,M,New York,NY,,,,,,,,,,,,,
Jeff Greene,Greene,645,"$3,400 ",65,"real estate, investments",Real Estate,M,Palm Beach,FL,,,,,,,,,,,,,
Peter Kellogg,Kellogg,645,"$3,400 ",77,investments,Finance & Investments,M,Short Hills,NJ,,,,,,,,,,,,,
Ken Langone,Langone,645,"$3,400 ",84,investments,Finance & Investments,M,Sands Point,NY,,,,,,,,,,,,,
Rodger Riney,Riney,645,"$3,400 ",74,discount brokerage,Finance & Investments,M,St. Louis,MO,,,,,,,,,,,,,
Alejandro Santo Domingo,Santo Domingo,645,"$3,400 ",42,beer,Food & Beverage,M,New York,NY,,,,,,,,,,,,,
Andres Santo Domingo,Santo Domingo,645,"$3,400 ",41,beer,Food & Beverage,M,New York,NY,,,,,,,,,,,,,
Herb Simon,Simon,645,"$3,400 ",85,real estate,Real Estate,M,Indianapolis,IN,,,,,,,,,,,,,
Jon Stryker,Stryker,645,"$3,400 ",61,medical equipment,Healthcare,M,New York,NY,,,,,,,,,,,,,
Meg Whitman,Whitman,645,"$3,400 ",63,eBay,Technology,F,Atherton,CA,,,,,,,,,,,,,
John Arnold,Arnold,667,"$3,300 ",45,hedge funds,Finance & Investments,M,Houston,TX,,,,,,,,,,,,,
David Bonderman,Bonderman,667,"$3,300 ",77,private equity,Finance & Investments,M,Forth Worth,TX,,,,,,,,,,,,,
Allan Goldman,Goldman,667,"$3,300 ",76,real estate,Real Estate,M,New York,NY,,,,,,,,,,,,,
Jane Goldman,Goldman,667,"$3,300 ",64,real estate,Real Estate,F,New York,NY,,,,,,,,,,,,,
Amy Goldman Fowler,Goldman Fowler,667,"$3,300 ",65,real estate,Real Estate,F,Rhinebeck,NY,,,,,,,,,,,,,
"Amos Hostetter, Jr.",Hostetter,667,"$3,300 ",83,cable television,Media & Entertainment,M,Boston,MA,,,,,,,,,,,,,
Diane Kemper,Kemper,667,"$3,300 ",74,real estate,Real Estate,F,New York,NY,,,,,,,,,,,,,
Joe Mansueto,Mansueto,667,"$3,300 ",63,investment research,Finance & Investments,M,Chicago,IL,,,,,,,,,,,,,
Michael Moritz,Moritz,667,"$3,300 ",65,venture capital,Technology,M,San Francisco,CA,,,,,,,,,,,,,
Jay Paul,Paul,667,"$3,300 ",72,real estate,Real Estate,M,San Francisco,CA,,,,,,,,,,,,,
Anthony Pritzker,Pritzker,667,"$3,300 ",59,"hotels, investments",Service,M,Los Angeles,CA,,,,,,,,,,,,,
Romesh T. Wadhwani,Wadhwani,667,"$3,300 ",72,software,Technology,M,Palo Alto,CA,,,,,,,,,,,,,
"Ernest Garcia, II.",Garcia,691,"$3,200 ",62,used cars,Automotive,M,Tempe,AZ,,,,,,,,,,,,,
Jane Lauder,Lauder,691,"$3,200 ",47,Est̩e Lauder,Fashion & Retail,F,New York,NY,,,,,,,,,,,,,
Lucy Stitzer,Stitzer,1227,"$1,900 ",60,Cargill,Food & Beverage,F,Greenwich,CT,,,,,,,,,,,,,
J.B. Pritzker,Pritzker,691,"$3,200 ",54,"hotels, investments",Finance & Investments,M,Chicago,IL,,,,,,,,,,,,,
Mark Shoen,Shoen,691,"$3,200 ",69,U-Haul,Automotive,M,Phoenix,AZ,,,,,,,,,,,,,
Paul Singer,Singer,691,"$3,200 ",75,hedge funds,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Sid Bass,Bass,691,"$3,200 ",77,"oil, investments",Energy,M,Forth Worth,TX,,,,,,,,,,,,,
Lynn Schusterman,Schusterman,691,"$3,200 ",80,"oil & gas, investments",Energy,F,Tulsa,OK,,,,,,,,,,,,,
Mario Gabelli,Gabelli,1349,"$1,700 ",77,money management,Finance & Investments,M,Greenwich,CT,,,,,,,,,,,,,
"Chase Coleman, III.",Coleman,715,"$3,100 ",44,hedge fund,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Don Hankey,Hankey,715,"$3,100 ",76,auto loans,Finance & Investments,M,Malibu,CA,,,,,,,,,,,,,
John Middleton,Middleton,715,"$3,100 ",64,tobacco,Food & Beverage,M,Atherton,CA,,,,,,,,,,,,,
Jean (Gigi) Pritzker,Pritzker,715,"$3,100 ",57,"hotels, investments",Service,F,Chicago,IL,,,,,,,,,,,,,
Donald Trump,Trump,715,"$3,100 ",73,real estate,Real Estate,M,Washington,DC,,,,,,,,,,,,,
Don Vultaggio,Vultaggio,715,"$3,100 ",67,AriZona Beverages,Food & Beverage,M,Port Washington,NY,,,,,,,,,,,,,
Mark Walter,Walter,715,"$3,100 ",59,finance,Finance & Investments,M,Chicago,IL,,,,,,,,,,,,,
John Catsimatidis,Catsimatidis,715,"$3,100 ",71,"oil, real estate",Energy,M,New York,NY,,,,,,,,,,,,,
Jim Breyer,Breyer,745,"$3,000 ",58,venture capital,Technology,M,Woodside,CA,,,,,,,,,,,,,
Do Won & Jin Sook Chang,Chang,745,"$3,000 ",64,fashion retail,Fashion & Retail,,Los Angeles,CA,,,,,,,,,,,,,
Leon G. Cooperman,Cooperman,745,"$3,000 ",76,hedge funds,Finance & Investments,M,Short Hills,NJ,,,,,,,,,,,,,
James Jannard,Jannard,745,"$3,000 ",70,sunglasses,Fashion & Retail,M,San Juan Islands,WA,,,,,,,,,,,,,
Joseph Liemandt,Liemandt,745,"$3,000 ",51,Software,Technology,M,Austin,TX,,,,,,,,,,,,,
Arturo Moreno,Moreno,745,"$3,000 ",73,"billboards, Anaheim Angels",Sports,M,Phoenix,AZ,,,,,,,,,,,,,
Marc Rowan,Rowan,745,"$3,000 ",57,private equity,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Michael Rubin,Rubin,745,"$3,000 ",47,online retail,Fashion & Retail,M,Bryn Mawr,PA,,,,,,,,,,,,,
Patrick Ryan,Ryan,745,"$3,000 ",82,insurance,Finance & Investments,M,Winnetka,IL,,,,,,,,,,,,,
Lynsi Snyder,Snyder,745,"$3,000 ",37,In-N-Out Burger,Food & Beverage,F,Glendora,CA,,,,,,,,,,,,,
David Steward,Steward,745,"$3,000 ",68,IT provider,Technology,M,St. Louis,MO,,,,,,,,,,,,,
Steve Wynn,Wynn,745,"$3,000 ",77,"casinos, hotels",Gambling & Casinos,M,Las Vegas,NV,,,,,,,,,,,,,
Jeffery Hildebrand,Hildebrand,745,"$3,000 ",60,oil,Energy,M,Houston,TX,,,,,,,,,,,,,
Gayle Benson,Benson,775,"$2,900 ",72,pro sports teams,Sports,F,New Orleans,LA,,,,,,,,,,,,,
Timothy Boyle,Boyle,775,"$2,900 ",70,Columbia Sportswear,Fashion & Retail,M,Portland,OR,,,,,,,,,,,,,
Nick Caporella,Caporella,775,"$2,900 ",84,beverages,Food & Beverage,M,Plantation,FL,,,,,,,,,,,,,
"Edward DeBartolo, Jr.",DeBartolo,775,"$2,900 ",73,shopping centers,Real Estate,M,Tampa,FL,,,,,,,,,,,,,
Rakesh Gangwal,Gangwal,775,"$2,900 ",66,airline,Service,M,Miami,FL,,,,,,,,,,,,,
Miguel McKelvey,McKelvey,775,"$2,900 ",45,WeWork,Real Estate,M,New York,NY,,,,,,,,,,,,,
Thomas Siebel,Siebel,775,"$2,900 ",67,business software,Technology,M,Woodside,CA,,,,,,,,,,,,,
Charles Simonyi,Simonyi,775,"$2,900 ",71,Microsoft,Technology,M,Medina,WA,,,,,,,,,,,,,
Mortimer Zuckerman,Zuckerman,775,"$2,900 ",82,"real estate, media",Real Estate,M,New York,NY,,,,,,,,,,,,,
Jim Davis,Davis,804,"$2,800 ",59,staffing & recruiting,Service,M,Cockeysville,MD,,,,,,,,,,,,,
Jonathan Gray,Gray,804,"$2,800 ",49,investments,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Thomas Hagen,Hagen,804,"$2,800 ",84,insurance,Finance & Investments,M,Erie,PA,,,,,,,,,,,,,
B. Wayne Hughes,Hughes,804,"$2,800 ",86,self storage,Service,M,Lexington,KY,,,,,,,,,,,,,
Johnelle Hunt,Hunt,804,"$2,800 ",88,trucking,Logistics,F,Fayetteville,AR,,,,,,,,,,,,,
Daniel Loeb,Loeb,804,"$2,800 ",58,hedge funds,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Mary Alice Dorrance Malone,Malone,804,"$2,800 ",69,Campbell Soup,Food & Beverage,F,Coatesville,PA,,,,,,,,,,,,,
Richard Peery,Peery,804,"$2,800 ",81,real estate,Real Estate,M,Palo Alto,CA,,,,,,,,,,,,,
J. Joe Ricketts,Ricketts,804,"$2,800 ",78,TD Ameritrade,Finance & Investments,M,Little Jackson Hole,WY,,,,,,,,,,,,,
Haim Saban,Saban,804,"$2,800 ",75,"TV network, investments",Media & Entertainment,M,Beverly Hills,CA,,,,,,,,,,,,,
Thomas Secunda,Secunda,804,"$2,800 ",65,Bloomberg LP,Media & Entertainment,M,Croton-on-Hudson,NY,,,,,,,,,,,,,
Glen Taylor,Taylor,804,"$2,800 ",78,printing,Service,M,Mankato,MN,,,,,,,,,,,,,
"William Wrigley, Jr.",Wrigley,804,"$2,800 ",56,chewing gum,Food & Beverage,M,North Palm Beach,FL,,,,,,,,,,,,,
Riley Bechtel,Bechtel,838,"$2,700 ",67,"engineering, construction",Construction & Engineering,M,San Francisco,CA,,,,,,,,,,,,,
"Stephen Bechtel, Jr.",Bechtel,838,"$2,700 ",94,"engineering, construction",Construction & Engineering,M,San Francisco,CA,,,,,,,,,,,,,
Andrew & Peggy Cherng,Cherng,838,"$2,700 ",,restaurants,Food & Beverage,,Las Vegas,NV,,,,,,,,,,,,,
"William Conway, Jr.",Conway,838,"$2,700 ",70,private equity,Finance & Investments,M,McLean,VA,,,,,,,,,,,,,
Daniel D'Aniello,D'Aniello,838,"$2,700 ",73,private equity,Finance & Investments,M,Vienna,VA,,,,,,,,,,,,,
Gerald Ford,Ford,838,"$2,700 ",75,banking,Finance & Investments,M,Dallas,TX,,,,,,,,,,,,,
Jimmy Haslam,Haslam,838,"$2,700 ",65,"gas stations, retail",Fashion & Retail,M,Knoxville,TN,,,,,,,,,,,,,
Bradley Jacobs,Jacobs,1349,"$1,700 ",63,logistics,Logistics,M,Greenwich,CT,,,,,,,,,,,,,
James Irsay,Irsay,838,"$2,700 ",60,Indianapolis Colts,Sports,M,Carmel,IN,,,,,,,,,,,,,
Jeff Rothschild,Rothschild,838,"$2,700 ",65,Facebook,Technology,M,Palo Alto,CA,,,,,,,,,,,,,
David Rubenstein,Rubenstein,838,"$2,700 ",70,private equity,Finance & Investments,M,Bethesda,MD,,,,,,,,,,,,,
Phil Ruffin,Ruffin,838,"$2,700 ",84,"casinos, real estate",Diversified,M,Las Vegas,NV,,,,,,,,,,,,,
Richard Sands,Sands,838,"$2,700 ",68,liquor,Food & Beverage,M,Canandaigua,NY,,,,,,,,,,,,,
Robert Sands,Sands,838,"$2,700 ",61,liquor,Food & Beverage,M,Canandaigua,NY,,,,,,,,,,,,,
E. Joe Shoen,Shoen,838,"$2,700 ",70,U-Haul,Automotive,M,Pheonix,AZ,,,,,,,,,,,,,
Eric Smidt,Smidt,838,"$2,700 ",60,hardware stores,Fashion & Retail,M,Los Angeles,CA,,,,,,,,,,,,,
Vincent Viola,Viola,838,"$2,700 ",63,electronic trading,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Doris Fisher,Fisher,877,"$2,600 ",88,Gap,Fashion & Retail,F,San Francisco,CA,,,,,,,,,,,,,
John Fisher,Fisher,877,"$2,600 ",58,Gap,Fashion & Retail,M,San Francisco,CA,,,,,,,,,,,,,
Noam Gottesman,Gottesman,877,"$2,600 ",58,hedge funds,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Randal J. Kirk,Kirk,877,"$2,600 ",65,pharmaceuticals,Healthcare,M,West Palm Beach,CA,,,,,,,,,,,,,
Sean Parker,Parker,877,"$2,600 ",40,Facebook,Technology,M,Los Angeles,CA,,,,,,,,,,,,,
Jorge Perez,Perez,877,"$2,600 ",70,real estate,Real Estate,M,Miami,FL,,,,,,,,,,,,,
John Pritzker,Pritzker,877,"$2,600 ",66,"hotels, investments",Finance & Investments,M,San Francisco,CA,,,,,,,,,,,,,
Penny Pritzker,Pritzker,877,"$2,600 ",60,"hotels, investments",Finance & Investments,F,Chicago,IL,,,,,,,,,,,,,
T. Denny Sanford,Sanford,877,"$2,600 ",84,"banking, credit cards",Finance & Investments,M,Sioux Falls,SD,,,,,,,,,,,,,
Ty Warner,Warner,877,"$2,600 ",75,"real estate, plush toys",Real Estate,M,Oak Brook,IL,,,,,,,,,,,,,
Jerry Yang,Yang,877,"$2,600 ",51,Yahoo,Technology,M,Los Altos Hills,CA,,,,,,,,,,,,,
George Argyros,Argyros,916,"$2,500 ",82,"real estate, investments",Real Estate,M,Newport Beach,CA,,,,,,,,,,,,,
John Arrillaga,Arrillaga,916,"$2,500 ",82,real estate,Real Estate,M,Portola Valley,CA,,,,,,,,,,,,,
Bill Austin,Austin,916,"$2,500 ",77,hearing aids,Manufacturing,M,Brownsville,TX,,,,,,,,,,,,,
John Paul DeJoria,DeJoria,916,"$2,500 ",75,"hair products, tequila",Fashion & Retail,M,Austin,TX,,,,,,,,,,,,,
Joseph Grendys,Grendys,916,"$2,500 ",58,poultry processing,Food & Beverage,M,Chicago,IL,,,,,,,,,,,,,
Aerin Lauder,Lauder,916,"$2,500 ",49,cosmetics,Fashion & Retail,F,New York,NY,,,,,,,,,,,,,
Eric Lefkofsky,Lefkofsky,916,"$2,500 ",50,Groupon,Technology,M,Glencoe,IL,,,,,,,,,,,,,
Bob Parsons,Parsons,916,"$2,500 ",69,web hosting,Technology,M,Scottsdale,AZ,,,,,,,,,,,,,
Warren Stephens,Stephens,916,"$2,500 ",62,investment banking,Finance & Investments,M,Little Rock,AK,,,,,,,,,,,,,
Peter Thiel,Thiel,916,"$2,500 ",52,"Facebook, Palantir",Finance & Investments,M,Los Angeles,CA,,,,,,,,,,,,,
Oprah Winfrey,Winfrey,916,"$2,500 ",65,TV shows,Media & Entertainment,F,Montecito,CA,,,,,,,,,,,,,
Denise York,York,916,"$2,500 ",69,San Francisco 49ers,Sports,F,Canfield,OH,,,,,,,,,,,,,
Aneel Bhusri,Bhusri,962,"$2,400 ",53,business software,Technology,M,San Francisco,CA,,,,,,,,,,,,,
Norman Braman,Braman,962,"$2,400 ",87,"art, car dealerships",Automotive,M,Miami,FL,,,,,,,,,,,,,
Chuck Bundrant,Bundrant,962,"$2,400 ",77,fishing,Food & Beverage,M,Seattle,WA,,,,,,,,,,,,,
Kenneth Feld,Feld,962,"$2,400 ",71,live entertainment,Media & Entertainment,M,Potomac,MD,,,,,,,,,,,,,
Peter Buck,Buck,1425,"$1,600 ",89,Subway sandwich shops,Food & Beverage,M,Danbury,CT,,,,,,,,,,,,,
C. Dean Metropoulos,Metropoulos,962,"$2,400 ",73,investments,Food & Beverage,M,Palm Beach,FL,,,,,,,,,,,,,
Mark Stevens,Stevens,962,"$2,400 ",59,venture capital,Finance & Investments,M,Atherton,CA,,,,,,,,,,,,,
Pat Stryker,Stryker,962,"$2,400 ",63,medical equipment,Healthcare,F,Fort Collins,CO,,,,,,,,,,,,,
David Walentas,Walentas,962,"$2,400 ",81,real estate,Real Estate,M,New York,NY,,,,,,,,,,,,,
Herbert Wertheim,Wertheim,962,"$2,400 ",80,investments,Finance & Investments,M,Coral Gables,FL,,,,,,,,,,,,,
Anita Zucker,Zucker,962,"$2,400 ",67,chemicals,Manufacturing,F,Charleston,SC,,,,,,,,,,,,,
Ray Davis,Davis,962,"$2,400 ",78,pipelines,Energy,M,Dallas,TX,,,,,,,,,,,,,
Bennett Dorrance,Dorrance,1008,"$2,300 ",73,Campbell Soup,Food & Beverage,M,Paradise Valley,AZ,,,,,,,,,,,,,
David Gottesman,Gottesman,1008,"$2,300 ",93,investments,Finance & Investments,M,Rye,NY,,,,,,,,,,,,,
Drew Houston,Houston,1008,"$2,300 ",36,cloud storage service,Technology,M,San Francisco,CA,,,,,,,,,,,,,
Brad Kelley,Kelley,1008,"$2,300 ",63,tobacco,Real Estate,M,Franklin,TN,,,,,,,,,,,,,
"Drayton McLane, Jr.",McLane,1008,"$2,300 ",83,"Walmart, logistics",Fashion & Retail,M,Temple,TX,,,,,,,,,,,,,
"H. Ross Perot, Jr.",Perot,1008,"$2,300 ",61,real estate,Real Estate,M,Dallas,TX,,,,,,,,,,,,,
Daniel Pritzker,Pritzker,1008,"$2,300 ",60,"hotels, investments",Service,M,Marin County,CA,,,,,,,,,,,,,
Stewart Rahr,Rahr,1008,"$2,300 ",73,drug distribution,Healthcare,M,New York,NY,,,,,,,,,,,,,
Alan Trefler,Trefler,1008,"$2,300 ",63,software,Technology,M,Brookline,MA,,,,,,,,,,,,,
William Macaulay,Macaulay,1941,"$1,100 ",74,energy investments,Energy,M,Greenwich,CT,,,,,,,,,,,,,
Lee Bass,Bass,1008,"$2,300 ",63,"oil, investments",Energy,M,Fort Worth,TX,,,,,,,,,,,,,
George Bishop,Bishop,1008,"$2,300 ",82,oil & gas,Energy,M,The Woodlands,TX,,,,,,,,,,,,,
Ron Baron,Baron,1057,"$2,200 ",76,money management,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Todd Christopher,Christopher,1057,"$2,200 ",57,hair care products,Fashion & Retail,M,Clearwater,CA,,,,,,,,,,,,,
Jim Coulter,Coulter,1057,"$2,200 ",60,private equity,Finance & Investments,M,San Francisco,CA,,,,,,,,,,,,,
James Dinan,Dinan,1057,"$2,200 ",60,hedge funds,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Alec Gores,Gores,1057,"$2,200 ",66,private equity,Finance & Investments,M,Bevery Hills,CA,,,,,,,,,,,,,
Clayton Mathile,Mathile,1057,"$2,200 ",79,pet food,Food & Beverage,M,Brookville,OH,,,,,,,,,,,,,
Phillip T. (Terry) Ragon,Ragon,1057,"$2,200 ",70,health IT,Technology,M,Boston,MA,,,,,,,,,,,,,
Brian Sheth,Sheth,1057,"$2,200 ",44,investments,Finance & Investments,M,Austin,TX,,,,,,,,,,,,,
Dan Snyder,Snyder,1057,"$2,200 ",55,Washington Redskins,Sports,M,Potomac,MD,,,,,,,,,,,,,
Ted Turner,Turner,1057,"$2,200 ",81,cable television,Media & Entertainment,M,Atlanta,GA,,,,,,,,,,,,,
Jon Yarbrough,Yarbrough,1057,"$2,200 ",62,video games,Gambling & Casinos,M,Franklin,TN,,,,,,,,,,,,,
Charles Zegar,Zegar,1057,"$2,200 ",71,Bloomberg LP,Media & Entertainment,M,New York,NY,,,,,,,,,,,,,
Edward Bass,Bass,1057,"$2,200 ",74,"oil, investments",Energy,M,Fort Worth,TX,,,,,,,,,,,,,
Ben Chestnut,Chestnut,1116,"$2,100 ",45,email marketing,Technology,M,Atlanta,GA,,,,,,,,,,,,,
James Clark,Clark,1116,"$2,100 ",75,"Netscape, investments",Technology,M,Palm Beach,FL,,,,,,,,,,,,,
Vinod Khosla,Khosla,1116,"$2,100 ",64,venture capital,Technology,M,Portola Valley,CA,,,,,,,,,,,,,
Osman Kibar,Kibar,1116,"$2,100 ",48,biotech,Healthcare,M,La Jolla,CA,,,,,,,,,,,,,
Dan Kurzius,Kurzius,1116,"$2,100 ",48,email marketing,Technology,M,Atlanta,GA,,,,,,,,,,,,,
Thai Lee,Lee,1116,"$2,100 ",61,IT provider,Technology,F,Austin,TX,,,,,,,,,,,,,
Jeffrey Lurie,Lurie,1116,"$2,100 ",68,Philadelphia Eagles,Sports,M,Wynneswood,PN,,,,,,,,,,,,,
Bobby Murphy,Murphy,1116,"$2,100 ",31,Snapchat,Technology,M,Venice,CA,,,,,,,,,,,,,
Antony Ressler,Ressler,1116,"$2,100 ",58,finance,Finance & Investments,M,Los Angeles,CA,,,,,,,,,,,,,
Kavitark Ram Shriram,Shriram,1116,"$2,100 ",62,"venture capital, Google",Technology,M,Menlo Park,CA,,,,,,,,,,,,,
Evan Spiegel,Spiegel,1116,"$2,100 ",29,Snapchat,Technology,M,Los Angeles,CA,,,,,,,,,,,,,
Elaine Wynn,Wynn,1116,"$2,100 ",77,"casinos, hotels",Gambling & Casinos,F,Las Vegas,NV,,,,,,,,,,,,,
Gordon Getty,Getty,1116,"$2,100 ",86,Getty Oil,Energy,M,San Francisco,CA,,,,,,,,,,,,,
S. Daniel Abraham,Abraham,1168,"$2,000 ",95,Slim-Fast,Food & Beverage,M,Palm Beach,CA,,,,,,,,,,,,,
Leslie Alexander,Alexander,1168,"$2,000 ",76,sports team,Sports,M,Houston,TX,,,,,,,,,,,,,
"Herbert Allen, Jr.",Allen,1168,"$2,000 ",79,investment banking,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Steve Conine,Conine,1168,"$2,000 ",47,online retail,Technology,M,Boston,MA,,,,,,,,,,,,,
Glenn Dubin,Dubin,1168,"$2,000 ",62,hedge funds,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
"Frank Fertitta, III.",Fertitta,1168,"$2,000 ",57,"casinos, mixed martial arts",Sports,M,Las Vegas,NV,,,,,,,,,,,,,
Lorenzo Fertitta,Fertitta,1168,"$2,000 ",51,"casinos, mixed martial arts",Sports,M,Las Vegas,NV,,,,,,,,,,,,,
Phillip Frost,Frost,1168,"$2,000 ",83,pharmaceuticals,Healthcare,M,Miami Beach,FL,,,,,,,,,,,,,
Jeffrey Gundlach,Gundlach,1168,"$2,000 ",61,investments,Finance & Investments,M,Los Angeles,CA,,,,,,,,,,,,,
Bruce Karsh,Karsh,1168,"$2,000 ",64,private equity,Finance & Investments,M,Los Angeles,CA,,,,,,,,,,,,,
Henry Laufer,Laufer,1168,"$2,000 ",74,hedge funds,Finance & Investments,M,Manalapan,FL,,,,,,,,,,,,,
Thomas Lee,Lee,1168,"$2,000 ",75,private equity,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Howard Marks,Marks,1168,"$2,000 ",73,private equity,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Nicholas Pritzker,Pritzker,1168,"$2,000 ",76,"hotels, investments",Service,M,Nicasio,CA,,,,,,,,,,,,,
Niraj Shah,Shah,1168,"$2,000 ",45,online retail,Technology,M,Boston,MA,,,,,,,,,,,,,
Tim Sweeney,Sweeney,1168,"$2,000 ",49,video games,Media & Entertainment,M,Raleigh,NC,,,,,,,,,,,,,
W. Herbert Hunt,Hunt,1168,"$2,000 ",90,oil,Energy,M,Dallas,TX,,,,,,,,,,,,,
David Kabiller,Kabiller,2057,"$1,000 ",56,Investment Management,Finance & Investments,M,Greenwich,CT,,,,,,,,,,,,,
Stewart Horejsi,Horejsi,1227,"$1,900 ",82,Berkshire Hathaway,Finance & Investments,M,Pheonix,AZ,,,,,,,,,,,,,
Stanley Hubbard,Hubbard,1227,"$1,900 ",86,DirecTV,Media & Entertainment,M,St. Paul,MN,,,,,,,,,,,,,
Jim Kavanaugh,Kavanaugh,1227,"$1,900 ",57,IT provider,Technology,M,St. Louis ,MO,,,,,,,,,,,,,
Chris Larsen,Larsen,1227,"$1,900 ",59,cryptocurrency,Finance & Investments,M,San Francisco,CA,,,,,,,,,,,,,
William Lauder,Lauder,1227,"$1,900 ",59,Estee Lauder,Fashion & Retail,M,New York,NY,,,,,,,,,,,,,
Sarah MacMillan,MacMillan,1227,"$1,900 ",66,Cargill,Food & Beverage,F,Los Angeles,CA,,,,,,,,,,,,,
David Murdock,Murdock,1227,"$1,900 ",96,"Dole, real estate",Food & Beverage,M,Los Angeles,CA,,,,,,,,,,,,,
Kevin Plank,Plank,1227,"$1,900 ",47,Under Armour,Fashion & Retail,M,Georgetown,MD,,,,,,,,,,,,,
Jennifer Pritzker,Pritzker,1227,"$1,900 ",69,"hotels, investments",Service,F,Chicago,IL,,,,,,,,,,,,,
Linda Pritzker,Pritzker,1227,"$1,900 ",66,"hotels, investments",Service,F,Missoula,MT,,,,,,,,,,,,,
Larry Robbins,Robbins,1227,"$1,900 ",50,hedge funds,Finance & Investments,M,Alpine,NJ,,,,,,,,,,,,,
Rodney Sacks,Sacks,1227,"$1,900 ",70,energy drinks,Food & Beverage,M,Laguna Beach,CA,,,,,,,,,,,,,
Edward Lampert,Lampert,2057,"$1,000 ",57,Sears,Finance & Investments,M,Greenwich,CT,,,,,,,,,,,,,
William Stone,Stone,1227,"$1,900 ",64,software,Technology,M,Naples,FL,,,,,,,,,,,,,
Katherine Tanner,Tanner,1227,"$1,900 ",64,Cargill,Food & Beverage,F,Marathon,FL,,,,,,,,,,,,,
John Tyson,Tyson,1227,"$1,900 ",66,food processing,Food & Beverage,M,Springdale,AK,,,,,,,,,,,,,
Amy Wyss,Wyss,1227,"$1,900 ",49,medical equipment,Healthcare,F,Wilson,WY,,,,,,,,,,,,,
David Zalik,Zalik,1227,"$1,900 ",45,financial technology,Technology,M,Atlanta,GA,,,,,,,,,,,,,
Carol Jenkins Barnett,Barnett,1281,"$1,800 ",63,Publix supermarkets,Food & Beverage,F,Lakeland,FL,,,,,,,,,,,,,
William Berkley,Berkley,1281,"$1,800 ",73,insurance,Finance & Investments,M,Coconut Grove,FL,,,,,,,,,,,,,
Robert Duggan,Duggan,1281,"$1,800 ",75,pharmaceuticals,Healthcare,M,Clearwater,FL,,,,,,,,,,,,,
John Farber,Farber,1281,"$1,800 ",94,chemicals,Manufacturing,M,New York,NY,,,,,,,,,,,,,
James France,France,1281,"$1,800 ",75,"Nascar, racing",Sports,M,Daytona Beach,FL,,,,,,,,,,,,,
Valentin Gapontsev,Gapontsev,1281,"$1,800 ",80,lasers,Manufacturing,M,Worcester,MA,,,,,,,,,,,,,
Bill Haslam,Haslam,1281,"$1,800 ",61,truck stops,Fashion & Retail,M,Nashville,TN,,,,,,,,,,,,,
Michael Jordan,Jordan,1281,"$1,800 ",56,"Charlotte Hornets, endorsements",Sports,M,Chicago,IL,,,,,,,,,,,,,
Marc Lasry,Lasry,1281,"$1,800 ",59,hedge funds,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
David Lichtenstein,Lichtenstein,1281,"$1,800 ",58,real estate,Real Estate,M,Monsey,NY,,,,,,,,,,,,,
Craig McCaw,McCaw,1281,"$1,800 ",70,telecom,Telecom,M,Hunts Point,WA,,,,,,,,,,,,,
John Liew,Liew,2057,"$1,000 ",52,Investment Management,Finance & Investments,M,Greenwich,CT,,,,,,,,,,,,,
Jonathan Nelson,Nelson,1281,"$1,800 ",63,private equity,Finance & Investments,M,Providence,RI,,,,,,,,,,,,,
Brian Roberts,Roberts,1281,"$1,800 ",60,Comcast,Service,M,Philadelphia,PA,,,,,,,,,,,,,
